,Brand,ModelName,ModelID,Color,Transmission,mileage,Price,bodyTypeName,FuelType,SellerState,MSRP,DaysOnMarket,OwnerCount,AccidentCount,Alloy Wheels,Backup Camera,Bluetooth,Heated Seats,Navigation System,Leather Seats,Blind Spot Monitoring,Sunroof/Moonroof,Remote Start,CarPlay,Android Auto,Parking Sensors,Adaptive Cruise Control,YearOld,id
111,Buick,Enclave,d1029,GRAY,Automatic,56550.0,34766.0,SUV / Crossover,Gasoline,IN,,35,2.0,0.0,1,1,1,1,0,0,1,0,1,1,1,0,0,3,111
112,Dodge,Durango,d651,WHITE,Automatic,57624.0,36990.0,SUV / Crossover,Gasoline,IN,,31,1.0,0.0,1,1,1,0,1,0,1,0,0,0,0,0,0,3,112
113,Ford,F-350 Super Duty,d343,BROWN,Automatic,71529.0,62990.0,Pickup Truck,Biodiesel,IN,,17,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,113
114,Honda,Accord,d585,WHITE,N/A,133216.0,19849.0,Sedan,Gasoline,IN,25900.0,6,2.0,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0,5,114
115,Chevrolet,Colorado,d614,BLACK,Automatic,48925.0,38900.0,Pickup Truck,Gasoline,IN,,113,1.0,0.0,1,1,1,1,0,0,0,0,1,1,0,0,0,4,115
116,Honda,Pilot,d594,WHITE,Automatic,10488.0,42500.0,SUV / Crossover,Gasoline,IN,46900.0,33,1.0,0.0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,116
117,Toyota,Tundra,d313,BLACK,Automatic,144935.0,25990.0,Pickup Truck,Flex Fuel Vehicle,IN,,17,4.0,0.0,1,1,1,1,0,1,0,0,0,0,0,0,0,10,117
118,Ford,EcoSport,d2506,SILVER,Automatic,25076.0,23490.0,SUV / Crossover,Gasoline,IN,,8,1.0,0.0,1,1,1,1,1,0,0,1,0,1,1,0,0,2,118
119,Ford,Explorer,d334,WHITE,Automatic,63858.0,20990.0,SUV / Crossover,Gasoline,IN,,93,2.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,6,119
120,Jeep,Renegade,d2268,UNKNOWN,Automatic,110771.0,16610.0,SUV / Crossover,Gasoline,IN,,61,1.0,0.0,1,1,1,1,0,1,0,1,1,0,0,0,0,5,120
121,Dodge,Durango,d651,BLACK,Automatic,95846.0,16995.0,SUV / Crossover,Gasoline,IN,,359,2.0,0.0,1,1,1,1,0,1,0,0,1,0,0,1,0,8,121
122,Hyundai,Santa Fe Sport,d2383,RED,Automatic,133707.0,10450.0,SUV / Crossover,Gasoline,IN,,9,1.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,9,122
123,Ford,Bronco Sport,d3094,UNKNOWN,Automatic,4385.0,44996.0,SUV / Crossover,Gasoline,IN,53995.0,99,1.0,0.0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,123
124,Ford,Escape,d330,BLACK,Automatic,26009.0,24990.0,SUV / Crossover,Gasoline,IN,,57,3.0,0.0,1,1,1,1,0,0,1,0,1,0,0,0,0,2,124
125,Buick,Enclave,d1029,SILVER,Automatic,136689.0,17990.0,SUV / Crossover,Gasoline,IN,,247,2.0,0.0,0,1,1,1,1,0,1,1,1,0,0,0,0,5,125
